bl_code,brand,name,size,color,uom,part_number,payment_term,description,supplier_code,movement,supplier,family,international_cost,retail_price,professional_price,status,inventory_location,qty
LMP14.C,Salon Solutions,Desk Lamp,,Black,piece,SSLMPPNO14,Cash,For Cancellation,6540,C,Tony Lamps,Desk Lamp,28.17,,1700,For Cancellation,BLPI - Dasma,0
LMP15.C,Salon Solutions,Desk Lamp,,Silver,piece,SSLMPPNO15,Cash,For Cancellation,HX008,C,Tony Lamps,Desk Lamp,30.52,,1950,For Cancellation,BLPI - Dasma,0
FF1.C,Salon Solutions,TYD Foot File ,,Clear,piece,SSFFPNO1,Cash,For Cancellation,---,C,Beautynail Nick,TYD Foot,0.21,25,25,For Cancellation,BLPI - Dasma,0
FF2.C,Salon Solutions,TYD Foot File ,,Yellow,piece,SSFFPNO2,Cash,For Cancellation,---,C,Beautynail Nick,TYD Foot,0.24,30,30,For Cancellation,BLPI - Dasma,0
FF3.C,Salon Solutions,TYD Foot File ,,Green,piece,SSFFPNO3,Cash,For Cancellation,---,C,Beautynail Nick,TYD Foot,0.24,30,30,For Cancellation,BLPI - Dasma,0
FF4.C,Salon Solutions,TYD Foot File ,,Purple,piece,SSFFPNO4,Cash,For Cancellation,---,C,Beautynail Nick,TYD Foot,0.24,30,30,For Cancellation,BLPI - Dasma,0
FF5.C,Salon Solutions,TYD Foot File ,,Pink,piece,SSFFPNO5,Cash,For Cancellation,---,C,Beautynail Nick,TYD Foot,0.24,30,30,For Cancellation,BLPI - Dasma,0
FF6.C,Salon Solutions,TYD Foot File ,,Blue,piece,SSFFPNO6,Cash,For Cancellation,---,C,Beautynail Nick,TYD Foot,0.24,30,30,For Cancellation,BLPI - Dasma,0
SFF7.C,Salon Solutions,Bamboo Foot File,,Wood,piece,SSFFPNO7,Cash,For Cancellation,BC138OB,C,Better Craft,Bamboo Foot,0.47,48,40,For Cancellation,BLPI - Dasma,0
FF8.C,Salon Solutions,Lollipop Foot File,,,piece,SSFFPNO8,Cash,For Cancellation,---,C,NB Goodtime,Lollipop Foot,0.66,75,75,For Cancellation,BLPI - Dasma,0
COL1.C,Salon Solutions,Nail Dust Collector,Small,Pink/Dotted,piece,SSCOLPNO1,Cash,For Cancellation,E-018 (Small),C,Supernail,Nail Dust,9.2,,620,For Cancellation,BLPI - Dasma,0
COL2.C,Salon Solutions,Nail Dust Collector,Small,White,piece,SSCOLPNO2,Cash,For Cancellation,ND-43,C,Supernail,Nail Dust,9.7,,700,For Cancellation,BLPI - Dasma,5
COL3.C,Salon Solutions,Nail Dust Collector,Large,White,piece,SSCOLPNO3,Cash,For Cancellation,E-018 (Large),C,Supernail,Nail Dust,10.4,,800,For Cancellation,BLPI - Dasma,0
COL4.C,Salon Solutions,Nail Dust Collector Metal Grill,,White,piece,SSCOLPNO4,Cash,For Cancellation,EW-312,C,Auparis,Nail Dust,11.7,,850,For Cancellation,BLPI - Dasma,0
FSM1.C,Salon Solutions,Foot Spa Machine,,White/Blue,piece,SSFSMPNO1,Cash,For Cancellation,G-055,C,Supernail,Foot Spa,9.52,,800,For Cancellation,BLPI - Dasma,28
FSM2.C,Salon Solutions,Foot Spa Machine,,White/Green,piece,SSFSMPNO2,Cash,For Cancellation,G-0623,C,Supernail,Foot Spa,16,,1000,For Cancellation,BLPI - Dasma,3
STE1.C,Salon Solutions,UV Sterilizer,,White/Blue,piece,SSSTEPNO1,Cash,For Cancellation,G-030,C,Supernail,UV Sterilizer,11.1,,800,For Cancellation,BLPI - Dasma,32
